,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_home,games_against_away,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,odds_home,odds_draw,odds_away
0,-9.0,7.0,2.0,6.0,0.0,1.0,71.0,59.0,61.0,67.0,64.0,65.0,72.0,65.0,66.0,68.0,65.0,63.0,69.0,66.0,68.0,66.0,69.0,68.0,68.0,72.0,66.0,63.0,0.3795319694115061,0.2878011161136341,0.33266691447485985
1,-5.0,-12.0,2.0,1.0,0.0,1.0,64.0,61.0,69.0,64.0,64.0,68.0,66.0,64.0,67.0,70.0,64.0,68.0,65.0,66.0,58.0,63.0,66.0,67.0,62.0,65.0,62.0,66.0,0.5031658263882358,0.2668328040103213,0.23000136960144285
2,5.0,3.0,5.0,4.0,0.0,2.0,69.0,70.0,72.0,66.0,61.0,69.0,68.0,70.0,71.0,70.0,73.0,68.0,68.0,67.0,67.0,64.0,62.0,61.0,66.0,65.0,72.0,70.0,0.5302931720056729,0.2644420185280008,0.20526480946632614
3,0.0,-5.0,4.0,2.0,0.0,0.0,69.0,68.0,69.0,64.0,64.0,66.0,66.0,52.0,60.0,71.0,73.0,58.0,63.0,61.0,60.0,60.0,63.0,64.0,59.0,61.0,64.0,56.0,0.5807106766466783,0.2466174291313257,0.17267189422199586
4,11.0,0.0,8.0,0.0,0.0,0.0,65.0,71.0,72.0,73.0,73.0,74.0,71.0,72.0,67.0,71.0,71.0,65.0,63.0,61.0,62.0,60.0,61.0,67.0,66.0,61.0,66.0,63.0,0.6954333920206703,0.19017933890951694,0.11438726906981266
5,6.0,-7.0,5.0,4.0,2.0,1.0,66.0,71.0,65.0,64.0,69.0,73.0,71.0,66.0,63.0,68.0,73.0,66.0,67.0,69.0,62.0,65.0,71.0,64.0,66.0,70.0,69.0,63.0,0.5289955792866655,0.2579215310293425,0.21308288968399214
6,14.0,7.0,7.0,5.0,0.0,3.0,71.0,71.0,73.0,70.0,66.0,74.0,70.0,72.0,70.0,70.0,68.0,65.0,66.0,64.0,67.0,69.0,72.0,72.0,71.0,66.0,74.0,72.0,0.5130335845855831,0.264640979769124,0.22232543564529286
7,2.0,10.0,4.0,6.0,0.0,3.0,71.0,69.0,70.0,72.0,68.0,69.0,70.0,71.0,71.0,73.0,67.0,74.0,73.0,74.0,72.0,70.0,69.0,71.0,76.0,73.0,71.0,77.0,0.3174845515526237,0.2849192562763852,0.3975961921709911
8,-2.0,0.0,4.0,4.0,1.0,1.0,71.0,62.0,67.0,62.0,66.0,65.0,66.0,64.0,72.0,68.0,68.0,71.0,71.0,66.0,73.0,73.0,68.0,64.0,65.0,66.0,69.0,70.0,0.3065299939043128,0.27544607197289794,0.4180239341227893
9,-9.0,-4.0,2.0,2.0,0.0,0.0,57.0,63.0,62.0,63.0,63.0,63.0,64.0,62.0,64.0,61.0,64.0,66.0,65.0,70.0,63.0,66.0,68.0,65.0,63.0,64.0,67.0,68.0,0.4219066775861301,0.2825705959262008,0.2955227264876691
