,label
4234,2
4235,2
4237,2
4239,2
4240,2
4242,2
4243,2
4244,2
4247,2
4253,2
4256,2
4257,2
4266,2
4267,2
4269,2
4271,2
4273,2
4280,2
4286,2
4288,0
4289,0
4291,0
4292,0
4293,0
4294,2
4295,2
4297,0
4298,0
4299,2
4300,0
4301,0
4302,2
4303,0
4304,0
4305,2
4306,0
4309,0
4310,0
4311,2
4312,2
4313,0
4315,0
4316,2
4318,2
4320,0
4321,1
4322,2
4323,1
4324,1
4325,2
4326,2
4327,0
4328,1
4329,0
4330,2
4331,2
4332,2
4333,0
4334,0
4335,0
4336,0
4337,0
4338,0
4339,1
4340,2
4341,2
4342,2
4343,0
4344,0
4345,0
4346,0
4347,1
4348,0
4349,2
4350,1
4351,0
4352,2
4353,1
4354,0
4355,0
4356,0
4357,1
4358,0
4359,0
4360,0
4361,0
4362,1
4363,2
4364,2
4365,0
4366,1
4367,0
4368,1
4369,0
4370,2
4371,0
4372,0
4373,0
4374,2
4375,1
4376,1
4377,1
4378,1
4379,0
4380,1
4381,0
4382,1
4383,1
4384,0
4385,2
4386,2
4387,0
4388,0
4389,0
4390,0
4391,1
4392,0
4393,1
4394,0
4395,0
4396,0
4397,1
4398,0
4399,1
4400,1
4401,1
4402,2
4403,0
4404,0
4405,2
4406,0
4407,0
4408,2
4409,0
4410,2
4411,1
4412,1
4413,1
4414,2
4415,0
4416,1
4417,1
4418,0
4419,2
4420,1
4421,0
4422,0
4423,0
4424,0
4425,2
4426,2
4427,2
4428,1
4429,2
4430,1
4431,0
4432,0
4433,1
4434,0
4435,1
4436,1
4437,0
4438,0
4439,0
4440,1
4441,1
4442,0
4443,2
4444,0
4445,0
4446,2
4447,0
4448,2
4449,1
4450,0
4451,0
4452,1
4453,0
4454,0
4455,1
4456,2
4457,2
4458,0
4459,0
4460,0
4461,0
4462,2
4463,2
4464,1
4465,2
4466,0
4467,2
4468,2
4469,0
4470,0
4471,0
4472,0
4473,2
4474,0
4475,0
4476,1
4477,1
4478,0
4479,2
4480,1
4481,1
4482,1
4483,0
4484,1
4485,0
4486,2
4487,2
4488,0
4489,0
4490,0
4491,2
4492,0
4493,2
4494,0
4495,2
4496,1
4497,0
4498,0
4499,1
4500,1
4501,0
4502,1
4503,1
4504,0
4505,2
4506,0
4507,1
4508,1
4509,0
4510,0
4511,1
4512,1
4513,0
4514,0
4515,0
4516,1
4517,0
4518,0
4519,0
4520,1
4521,0
4522,1
4523,0
4524,2
4525,0
4526,2
4527,0
4528,0
4529,1
4530,1
4531,2
4532,2
4533,0
4534,1
4535,1
4536,1
4537,1
4538,0
4539,2
4540,2
4541,1
4542,1
4543,1
4544,0
4545,2
4546,0
4547,1
4548,2
4549,0
4550,0
4551,0
4552,0
4553,0
4554,1
4555,2
4556,0
4557,0
4558,2
4559,2
4560,0
4561,1
4562,0
4563,0
4564,1
4565,0
4566,0
4567,0
4568,0
4569,1
4570,0
4571,2
4572,0
4573,0
4574,0
4575,2
4576,1
4577,0
4578,1
4579,1
4580,0
4581,0
4582,1
4583,2
4584,0
4585,2
4586,2
4587,0
4588,2
4589,0
4590,2
4591,2
4592,2
4593,0
4594,0
4595,1
4596,1
4597,1
4598,0
4599,0
4600,1
4601,0
4602,0
4603,2
4604,0
4605,0
4606,0
4607,2
4608,1
4609,0
4610,2
4611,2
4612,1
4613,0
4614,0
4615,0
4616,1
4617,2
4618,1
4619,1
4620,1
4621,1
4622,1
4623,1
4624,1
4625,2
4626,0
4627,2
4628,0
4629,2
4630,1
4631,0
4632,0
4633,0
4634,0
4635,0
4636,0
4637,2
4638,1
4639,0
4640,0
4641,0
4642,2
4643,1
4644,0
4645,0
4646,2
4647,2
4648,0
4649,0
4650,2
4651,0
4652,2
4653,0
4654,1
4655,0
4656,2
4657,0
4658,1
4659,1
4660,1
4661,0
4662,0
4663,0
4664,0
4665,1
4666,0
4667,1
4668,0
4669,1
4670,0
4671,0
4672,0
4673,0
4674,1
4675,1
4676,0
4677,0
4678,0
4679,2
4680,2
4681,2
4682,2
4683,2
4684,1
4685,0
4686,2
4687,0
4688,1
4689,0
4690,0
4691,2
4692,2
4693,2
4694,1
4695,0
4696,2
4697,1
4698,0
4699,0
4700,0
4701,2
4702,2
4703,0
4704,0
4705,0
4706,0
4707,2
4708,1
4709,0
4710,1
4711,0
4712,2
4713,0
