,match,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_home,games_against_away,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,odds_home,odds_draw,odds_away
0,537,-9.0,7.0,2.0,6.0,0.0,1.0,71.0,59.0,61.0,67.0,64.0,65.0,72.0,65.0,66.0,68.0,65.0,63.0,69.0,66.0,68.0,66.0,69.0,68.0,68.0,72.0,66.0,63.0,0.3795319694115061,0.2878011161136341,0.33266691447485985
1,538,-5.0,-12.0,2.0,1.0,0.0,1.0,64.0,61.0,69.0,64.0,64.0,68.0,66.0,64.0,67.0,70.0,64.0,68.0,65.0,66.0,58.0,63.0,66.0,67.0,62.0,65.0,62.0,66.0,0.5031658263882358,0.2668328040103213,0.23000136960144285
2,539,5.0,3.0,5.0,4.0,0.0,2.0,69.0,70.0,72.0,66.0,61.0,69.0,68.0,70.0,71.0,70.0,73.0,68.0,68.0,67.0,67.0,64.0,62.0,61.0,66.0,65.0,72.0,70.0,0.5302931720056729,0.2644420185280008,0.20526480946632614
3,540,0.0,-5.0,4.0,2.0,0.0,0.0,69.0,68.0,69.0,64.0,64.0,66.0,66.0,52.0,60.0,71.0,73.0,58.0,63.0,61.0,60.0,60.0,63.0,64.0,59.0,61.0,64.0,56.0,0.5807106766466783,0.2466174291313257,0.17267189422199586
4,541,11.0,0.0,8.0,0.0,0.0,0.0,65.0,71.0,72.0,73.0,73.0,74.0,71.0,72.0,67.0,71.0,71.0,65.0,63.0,61.0,62.0,60.0,61.0,67.0,66.0,61.0,66.0,63.0,0.6954333920206703,0.19017933890951694,0.11438726906981266
5,543,6.0,-7.0,5.0,4.0,2.0,1.0,66.0,71.0,65.0,64.0,69.0,73.0,71.0,66.0,63.0,68.0,73.0,66.0,67.0,69.0,62.0,65.0,71.0,64.0,66.0,70.0,69.0,63.0,0.5289955792866655,0.2579215310293425,0.21308288968399214
6,544,14.0,7.0,7.0,5.0,0.0,3.0,71.0,71.0,73.0,70.0,66.0,74.0,70.0,72.0,70.0,70.0,68.0,65.0,66.0,64.0,67.0,69.0,72.0,72.0,71.0,66.0,74.0,72.0,0.5130335845855831,0.264640979769124,0.22232543564529286
7,545,2.0,10.0,4.0,6.0,0.0,3.0,71.0,69.0,70.0,72.0,68.0,69.0,70.0,71.0,71.0,73.0,67.0,74.0,73.0,74.0,72.0,70.0,69.0,71.0,76.0,73.0,71.0,77.0,0.3174845515526237,0.2849192562763852,0.3975961921709911
8,546,-2.0,0.0,4.0,4.0,1.0,1.0,71.0,62.0,67.0,62.0,66.0,65.0,66.0,64.0,72.0,68.0,68.0,71.0,71.0,66.0,73.0,73.0,68.0,64.0,65.0,66.0,69.0,70.0,0.3065299939043128,0.27544607197289794,0.4180239341227893
9,547,-9.0,-4.0,2.0,2.0,0.0,0.0,57.0,63.0,62.0,63.0,63.0,63.0,64.0,62.0,64.0,61.0,64.0,66.0,65.0,70.0,63.0,66.0,68.0,65.0,63.0,64.0,67.0,68.0,0.4219066775861301,0.2825705959262008,0.2955227264876691
10,548,3.0,-14.0,5.0,1.0,1.0,1.0,68.0,70.0,67.0,68.0,61.0,67.0,59.0,66.0,73.0,61.0,67.0,63.0,67.0,63.0,64.0,65.0,57.0,69.0,70.0,64.0,65.0,69.0,0.5004834560680834,0.2684629720011645,0.231053571930752
11,549,-1.0,-3.0,4.0,1.0,1.0,0.0,72.0,70.0,69.0,70.0,69.0,68.0,67.0,70.0,67.0,70.0,68.0,63.0,64.0,65.0,63.0,58.0,61.0,65.0,65.0,63.0,65.0,66.0,0.5305328522710504,0.26367427185323034,0.20579287587571932
12,550,1.0,2.0,3.0,5.0,0.0,2.0,65.0,67.0,70.0,69.0,65.0,72.0,71.0,66.0,66.0,66.0,68.0,66.0,66.0,63.0,64.0,69.0,65.0,67.0,65.0,66.0,68.0,66.0,0.4366755043549763,0.2860044948708452,0.2773200007741785
13,551,-10.0,0.0,0.0,4.0,0.0,0.0,65.0,63.0,64.0,63.0,66.0,63.0,61.0,67.0,66.0,57.0,63.0,63.0,64.0,68.0,64.0,66.0,64.0,68.0,66.0,69.0,69.0,66.0,0.3604431577157856,0.2851239514388628,0.3544328908453517
14,552,8.0,-10.0,5.0,0.0,0.0,0.0,74.0,73.0,74.0,72.0,70.0,62.0,76.0,71.0,67.0,73.0,71.0,65.0,57.0,63.0,64.0,63.0,66.0,67.0,63.0,64.0,66.0,63.0,0.7082391829851122,0.1800785077978488,0.11168230921703896
15,553,5.0,0.0,4.0,4.0,2.0,1.0,65.0,66.0,64.0,67.0,69.0,72.0,72.0,71.0,66.0,72.0,74.0,71.0,63.0,62.0,67.0,64.0,63.0,66.0,68.0,66.0,68.0,72.0,0.5897724557864809,0.2358492377818245,0.1743783064316946
16,554,2.0,2.0,4.0,5.0,3.0,0.0,71.0,71.0,73.0,66.0,61.0,73.0,72.0,64.0,70.0,69.0,66.0,66.0,66.0,65.0,69.0,64.0,66.0,65.0,67.0,63.0,68.0,66.0,0.5745247706819822,0.2461078203925216,0.17936740892549624
17,555,6.0,-2.0,6.0,3.0,0.0,1.0,68.0,70.0,67.0,57.0,61.0,66.0,66.0,67.0,61.0,73.0,67.0,72.0,70.0,69.0,70.0,69.0,67.0,68.0,70.0,68.0,67.0,70.0,0.4617410630204096,0.2764324735675523,0.2618264634120379
18,556,4.0,13.0,3.0,6.0,1.0,1.0,66.0,65.0,70.0,63.0,66.0,68.0,65.0,63.0,64.0,68.0,67.0,71.0,71.0,70.0,73.0,66.0,74.0,70.0,72.0,68.0,70.0,72.0,0.2300767544302409,0.258629867413822,0.511293378155937
19,557,-2.0,-13.0,1.0,2.0,1.0,0.0,63.0,65.0,64.0,65.0,64.0,65.0,65.0,63.0,61.0,65.0,66.0,57.0,60.0,58.0,63.0,62.0,63.0,64.0,61.0,63.0,64.0,64.0,0.4794780364064092,0.2775171503822497,0.24300481321134115
20,558,-1.0,2.0,3.0,4.0,0.0,1.0,63.0,68.0,64.0,66.0,64.0,68.0,69.0,64.0,61.0,66.0,69.0,71.0,70.0,61.0,71.0,67.0,69.0,62.0,71.0,70.0,61.0,67.0,0.32776467556957944,0.2862860237626979,0.3859493006677226
21,559,-15.0,0.0,1.0,3.0,2.0,1.0,67.0,65.0,63.0,64.0,67.0,57.0,69.0,64.0,69.0,72.0,70.0,65.0,70.0,67.0,66.0,66.0,64.0,66.0,66.0,71.0,68.0,68.0,0.3970686265710993,0.2891024022209538,0.31382897120794706
22,560,8.0,-1.0,5.0,3.0,3.0,0.0,71.0,70.0,71.0,73.0,66.0,70.0,74.0,70.0,72.0,66.0,74.0,72.0,70.0,69.0,70.0,69.0,70.0,67.0,68.0,67.0,70.0,68.0,0.5793535385881234,0.2385522249426751,0.18209423646920128
